TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
Phe_509_8	Dependence on respirator [Ventilator] or supplemental oxygen	EFO_0010720	
Phe_510	Other diseases of lung	EFO_0000684	D012140
Phe_510	Other diseases of lung	EFO_0003818	D008171
Phe_512	Other symptoms of respiratory system	EFO_0000684	D012140
Phe_512_1	Wheezing	EFO_0009715	
Phe_512_2	Painful respiration	EFO_0000684	D012140
Phe_512_2	Painful respiration	EFO_0009841	
Phe_512_7	Shortness of breath	EFO_0009727	
Phe_512_8	Cough	EFO_0007939	
Phe_512_8	Cough	HP_0012735	D003371
Phe_512_9	Other dyspnea	HP_0002094	D004417
Phe_513	Respiratory abnormalities	EFO_0000684	D012140
Phe_513_3	Hypoventilation	HP_0002791	D007040
Phe_513_31	Apnea	HP_0002104	D001049
Phe_513_8	Disorders of diaphragm	EFO_0007233	NoID
Phe_514	Abnormal findings examination of lungs	HP_0002088	
Phe_514_2	Solitary pulmonary nodule	EFO_1001133	D003074
Phe_516	Abnormal sputum	HP_0032016	
Phe_516_1	Hemoptysis	HP_0002105	D006469
Phe_519	Other diseases of respiratory system, not elsewhere classified	EFO_0000684	D012140
Phe_519_8	Other diseases of respiratory system, NEC	EFO_0000684	D012140
Phe_519_9	Symptoms involving respiratory system and other chest symptoms	EFO_0000684	D012140
Phe_520	Disorders of tooth development	EFO_1001216	DO14076
Phe_520_1	Hereditary disturbances in tooth structure	EFO_1001216	DO14076
Phe_520_2	Disturbances in tooth eruption	EFO_1001216	DO14076
Phe_520_2	Disturbances in tooth eruption	HP_0011079	
Phe_521	Diseases of hard tissues of teeth	MONDO_0002220	
Phe_521_1	Dental caries	EFO_0003819	D003731
Phe_521_2	Dental abrasion, erosion and attrition	EFO_0003819	D003731
Phe_522	Diseases of pulp and periapical tissues	EFO_0009540	D003788
Phe_522	Diseases of pulp and periapical tissues	EFO_0010688	D010483
Phe_522_1	Pulpitis and necrosis of tooth pulp	EFO_1001139	D011671
Phe_522_5	Periapical abscess	EFO_0003030	D000038
Phe_522_5	Periapical abscess	EFO_1001202	D010482
Phe_523	Gingival and periodontal diseases	EFO_1001216	DO14076
Phe_523_1	Gingivitis	MONDO_0002508	D005891
Phe_523_3	Periodontitis (acute or chronic)	EFO_0000649	D010520
Phe_523_31	Acute periodontitis	EFO_0000649	D010520
Phe_523_32	Chronic periodontitis	EFO_0000649	D010520
Phe_523_32	Chronic periodontitis	EFO_0006343	D055113
Phe_524	Dentofacial anomalies, including malocclusion	HP_0000164	
Phe_524_3	Anomalies of tooth position/malocclusion	HP_0000689	
Phe_525	Other diseases of the teeth and supporting structures	EFO_1001216	D014076
Phe_525	Other diseases of the teeth and supporting structures	EFO_1001216	DO14076
Phe_525_1	Loss of teeth or edentulism	HP_0000689	
Phe_525_2	Atrophy of edentulous alveolar ridge	EFO_0009468	
Phe_526	Diseases of the jaws	EFO_0009468	
Phe_526_4	Temporomandibular joint disorders	EFO_0005279	D013705
Phe_526_41	Temporomandibular joint disorder, unspecified	EFO_0005279	D013705
Phe_526_42	Arthralgia/ankylosis of temporomandibular joint	EFO_0005279	D013705
Phe_526_5	Inflammatory conditions of jaw	EFO_0009468	
Phe_526_8	Exostosis of jaw	MONDO_0002181	
Phe_527	Diseases of the salivary glands	EFO_0008581	D012466
Phe_527_2	Sialoadenitis	EFO_1001179	D012793
Phe_527_7	Disturbance of salivary secretion	EFO_0008581	D012466
Phe_528	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	EFO_1001047	D009059
Phe_528_1	Stomatitis and mucositis	EFO_0009688;EFO_1001898	D013280;D052016
Phe_528_3	Cellulitis and abscess of oral soft tissues	EFO_0003030;EFO_0003035	D000038;D002481
Phe_528_3	Cellulitis and abscess of oral soft tissues	EFO_1001047	D009059
Phe_528_6	Leukoplakia of oral mucosa	HP_0002745	
Phe_528_6	Leukoplakia of oral mucosa	MONDO_0004844	D007972
Phe_528_7	Sialolithiasis	EFO_1001180	D015494
Phe_529	Diseases and other conditions of the tongue	EFO_1001047	D009059
Phe_530	Diseases of esophagus	EFO_0009544	D004935
Phe_530_1	Esophagitis, GERD and related diseases	EFO_0000280	D001471
Phe_530_1	Esophagitis, GERD and related diseases	EFO_0009544	D004935
Phe_530_11	GERD	EFO_0003948	D005764
Phe_530_12	Ulcer of esophagus	EFO_0009544	D004935
Phe_530_12	Ulcer of esophagus	MONDO_0044782	
Phe_530_13	Barrett's esophagus	EFO_0000280	D001471
Phe_530_14	Reflux esophagitis	EFO_1001095	D004942
Phe_530_14	Reflux esophagitis	HP_0100633	D004941
Phe_530_2	Esophageal bleeding (varices/hemorrhage)	EFO_0009545	D004932
Phe_530_3	Stricture and stenosis of esophagus	EFO_0009544	D004935
Phe_530_5	Disorders of esophageal motility	EFO_0009544	D004935
Phe_530_9	Heartburn	EFO_0008533	D004415
Phe_531	Peptic ulcer (excl. esophageal)	MONDO_0004247	D010437
Phe_531_1	Hemorrhage from gastrointestinal ulcer	EFO_0009454	D013276
Phe_531_1	Hemorrhage from gastrointestinal ulcer	EFO_0009454;MP_0001914	D013276
Phe_531_2	Gastric ulcer	EFO_0009454	D013276
Phe_531_3	Duodenal ulcer	EFO_0004607	D004381
Phe_531_4	Peptic ulcer, site unspecified	HP_0004398	D010437
Phe_531_4	Peptic ulcer, site unspecified	MONDO_0004247	D010437
Phe_532	Dysphagia	HP_0002015	D003680
Phe_535	Gastritis and duodenitis	EFO_0000217	D005756
Phe_535	Gastritis and duodenitis	MONDO_0004628	
Phe_535_1	Acute gastritis	EFO_0000217	D005756
Phe_535_1	Acute gastritis	EFO_0009454	D013276
Phe_535_2	Atrophic gastritis	EFO_1000826	D005757
Phe_535_6	Duodenitis	EFO_1001463	D005759
Phe_535_6	Duodenitis	MONDO_0004627	D004382
Phe_535_8	Other specified gastritis	EFO_0000217	D005756
Phe_535_9	Gastritis and duodenitis, NOS	MONDO_0004628	
Phe_536	Disorders of function of stomach	MONDO_0001318	
Phe_536_3	Gastroparesis	EFO_1000948	D018589
Phe_536_8	Dyspepsia and other specified disorders of function of stomach	EFO_0008533;EFO_0009608	D004415;D013272
Phe_537	Other disorders of stomach and duodenum	EFO_1001463	D005759
Phe_537_1	Lesions of stomach and duodenum	EFO_0009608	D013272
Phe_540	Appendiceal conditions	EFO_0009542	
Phe_540_1	Appendicitis	EFO_0007149	D001064
Phe_540_11	Acute appendicitis	EFO_0007149	D001064
Phe_550	Abdominal hernia	HP_0004299	D046449
Phe_550_1	Inguinal hernia	HP_0000023	D006552
Phe_550_2	Diaphragmatic hernia	EFO_0008561	D006548
Phe_550_2	Diaphragmatic hernia	HP_0002036	D006551
Phe_550_4	Umbilical hernia	HP_0001537	D006554
Phe_550_5	Ventral hernia	EFO_1001866	D006555
Phe_550_6	Incisional hernia	HP_0004872	
Phe_555	Inflammatory bowel disease and other gasteroenteritis and colitis	EFO_0003767	D015212
Phe_555_1	Regional enteritis	EFO_0000384	D003424
Phe_555_1	Regional enteritis	MONDO_0043579	D004751
Phe_555_2	Ulcerative colitis	EFO_0000729	D003093
Phe_555_21	Ulcerative colitis (chronic)	EFO_0000729	D003093
Phe_556	Ulceration of the lower GI tract	EFO_0010282	
Phe_556_1	Ulceration of intestine	EFO_0009431	D007410
Phe_556_1	Ulceration of intestine	EFO_0010282	
Phe_556_11	Angiodysplasia of intestine (without mention of hemorrhage)	EFO_0004264	D014652
Phe_558	Noninfectious gastroenteritis	EFO_1001463	D005759
Phe_559	Ileostomy status	EFO_0010681	D007081
Phe_560	Intestinal obstruction without mention of hernia	MONDO_0004565	D007415
Phe_560_1	Paralytic ileus	HP_0002590	
Phe_560_2	Impaction of intestine	EFO_0010282	
Phe_560_2	Impaction of intestine	MONDO_0004571	
Phe_560_3	Peritoneal or intestinal adhesions	HP_0011024	
Phe_560_4	Other intestinal obstruction	HP_0011024	
Phe_560_4	Other intestinal obstruction	MONDO_0004565	D007415
Phe_561	Symptoms involving digestive system	EFO_0009523	D005242
Phe_561_1	Diarrhea	HP_0002014	D003967
Phe_561_2	Flatulence	EFO_0009669	D005414
Phe_562	Diverticulosis and diverticulitis	EFO_0009959	
Phe_562_1	Diverticulosis	EFO_0009959	
Phe_562_2	Diverticulitis	MONDO_0004235	D004238
Phe_563	Constipation	HP_0002019	
Phe_564_1	Irritable Bowel Syndrome	EFO_0000555	D043183
Phe_564_8	Abnormal findings on exam of gastrointestinal tract/abdominal area	HP_0011024	
Phe_565	Anal and rectal conditions	EFO_0009685	D012002
Phe_565	Anal and rectal conditions	HP_0012390	D005401
Phe_565_1	Anal and rectal polyp	EFO_0000662	D011127
Phe_567	Peritonitis and retroperitoneal infections	EFO_0008588	D010538
Phe_568	Other disorders of peritoneum	EFO_0009541	D010532
Phe_568_1	Peritoneal adhesions (postoperative) (postinfection)	HP_0011024	
Phe_569	Other disorders of intestine	EFO_0009431	D007410
Phe_569_2	Gastrointestinal complications	EFO_0009518;EFO_0010282	
Phe_569_2	Gastrointestinal complications	EFO_0010282	
Phe_571	Chronic liver disease and cirrhosis	EFO_0001421	D008107
Phe_571_5	Other chronic nonalcoholic liver disease	EFO_0001421	D008107
Phe_571_51	Cirrhosis of liver without mention of alcohol	EFO_0001422	D008103
Phe_571_8	Liver abscess and sequelae of chronic liver disease	HP_0001399	D017093
Phe_571_8	Liver abscess and sequelae of chronic liver disease	HP_0100523	D008100
Phe_571_81	Portal hypertension	EFO_0000666	D006975
Phe_572	Ascites (non malignant)	HP_0001541	D001201
Phe_573	Other disorders of liver	EFO_0001421	D008107
Phe_573_3	Hepatomegaly	HP_0002240	D006529
Phe_573_5	Jaundice (not of newborn)	HP_0000952	D007565
Phe_573_6	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	EFO_0010695	
Phe_573_7	Abnormal results of function study of liver	HP_0001392	
Phe_573_9	Abnormal serum enzyme levels	EFO_0009826	
Phe_574	Cholelithiasis and cholecystitis	EFO_0004799;HP_0001082	D002769;D002764
Phe_574_1	Cholelithiasis	EFO_0004799	D002769
Phe_574_11	Cholelithiasis with acute cholecystitis	EFO_0004799	D002769
Phe_574_12	Cholelithiasis with other cholecystitis	EFO_0004799	D002769
Phe_574_2	Calculus of bile duct	EFO_1000400	
Phe_574_3	Cholecystitis without cholelithiasis	HP_0001082	D002764
Phe_575	Other biliary tract disease	EFO_0009534	D001660
Phe_575_2	Obstruction of bile duct	EFO_1000400	
Phe_575_2	Obstruction of bile duct	MONDO_0002887	D001649
Phe_575_7	Other disorders of gallbladder	EFO_0003832	D005705
Phe_575_8	Other disorders of biliary tract	EFO_0009534	D001660
Phe_575_9	Nonspecific abnormal findings on radiological and other examination of biliary tract	EFO_0009534	D001660
Phe_577	Diseases of pancreas	EFO_0009605	D010182
Phe_577_1	Acute pancreatitis	EFO_0000278	D010195
Phe_577_1	Acute pancreatitis	EFO_1000652	
Phe_577_2	Chronic pancreatitis	EFO_0000278	D010195
Phe_577_2	Chronic pancreatitis	EFO_0000342	D050500
Phe_577_3	Cyst and pseudocyst of pancreas	HP_0005206	D010192
Phe_578	Gastrointestinal hemorrhage	HP_0002239	D006471
Phe_578_1	Hematemesis	HP_0002248	D006396
Phe_578_2	Blood in stool	HP_0031685	
Phe_578_8	Hemorrhage of rectum and anus	EFO_0009685	D012002
Phe_578_8	Hemorrhage of rectum and anus	EFO_0009690	D014570
Phe_578_9	Hemorrhage of gastrointestinal tract	EFO_0010282	
Phe_578_9	Hemorrhage of gastrointestinal tract	HP_0002239	D006471
Phe_579	Other symptoms involving abdomen and pelvis	EFO_0003765	D012816
Phe_579	Other symptoms involving abdomen and pelvis	EFO_0010282	
Phe_579_2	Splenomegaly	HP_0001744	D013163
Phe_579_8	Nonspecific abnormal findings in stool contents	HP_0031685	
Phe_580	Nephritis; nephrosis; renal sclerosis	EFO_0003086	D007674
Phe_580_1	Glomerulonephritis	MONDO_0002462	D005921
Phe_580_12	Non-proliferative glomerulonephritis	MONDO_0002462	D005921
Phe_580_14	Chronic glomerulonephritis, NOS	MONDO_0002462	D005921
Phe_580_2	Nephrotic syndrome without mention of glomerulonephritis	EFO_0004255	D009404
Phe_580_3	Nephritis and nephropathy without mention of glomerulonephritis	EFO_1002050;HP_0000112	D009393
Phe_580_31	Nephritis and nephropathy in diseases classified elsewhere	EFO_1002050	D009393
Phe_580_32	Nephritis and nephropathy with pathological lesion	EFO_1002050;HP_0000112	D009393
Phe_585	Renal failure	EFO_1002048	D051437
Phe_585_1	Acute renal failure	EFO_0003884	D051436
Phe_585_1	Acute renal failure	EFO_1002048	D051437
Phe_585_1	Acute renal failure	MONDO_0002492	D058186
Phe_585_2	Renal failure NOS	EFO_1002048	D051437
Phe_585_3	Chronic renal failure [CKD]	EFO_0003884	D051436
Phe_585_3	Chronic renal failure [CKD]	EFO_1002048	D051437
Phe_585_31	Renal dialysis	EFO_0010690	D006435
Phe_585_32	End stage renal disease	EFO_0003884	D051436
Phe_585_33	Chronic Kidney Disease, Stage III	EFO_0003884	D051436
Phe_585_34	Chronic Kidney Disease, Stage IV	EFO_0003884	D051436
Phe_585_4	Chronic kidney disease, Stage I or II	EFO_0003884	D051436
Phe_586	Other disorders of the kidney and ureters	EFO_0009690	D014570
Phe_586_2	Cyst of kidney, acquired	EFO_0003086	D007674
Phe_586_2	Cyst of kidney, acquired	EFO_0008615	D052177
Phe_586_4	Stricture/obstruction of ureter	MONDO_0002674	
Phe_587	Kidney replaced by transpant	EFO_0010134	
Phe_588	Disorders resulting from impaired renal function	MONDO_0001343	
Phe_588_1	Renal osteodystrophy	EFO_1001152	D012080
Phe_588_2	Secondary hyperparathyroidism (of renal origin)	MONDO_0001530	
Phe_589	Abnormal results of function study of kidney	EFO_0003086	D007674
Phe_590	Pyelonephritis	EFO_1001141	D011704
Phe_590	Pyelonephritis	EFO_1002050	D009393
Phe_591	Urinary tract infection	EFO_0003103	D014552
Phe_592	Cystitis and urethritis	EFO_0003878;EFO_1000025	D014526;D003556
Phe_592_1	Cystitis	EFO_1000025	D003556
Phe_592_11	Acute cystitis	EFO_1000025	D003556
Phe_592_11	Acute cystitis	MONDO_0001650	
Phe_592_2	Urethritis and urethral syndrome	MONDO_0001730	
Phe_593	Hematuria	HP_0000790	D006417
Phe_593_1	Gross hematuria	HP_0012587	
Phe_593_2	Microscopic hematuria	HP_0002907	
Phe_594	Urinary calculus	EFO_1000839	D001744
Phe_594_1	Calculus of kidney	EFO_0004253	D053040
Phe_594_2	Calculus of lower urinary tract	MONDO_0004828	
Phe_594_3	Calculus of ureter	EFO_1001228	D053039
Phe_595	Hydronephrosis	EFO_0005562	D006869
Phe_596	Other disorders of bladder	EFO_1000018	D001745
Phe_596_1	Bladder neck obstruction	EFO_1000840	D001748
Phe_596_5	Functional disorders of bladder	HP_0000009	
Phe_597	Other disorders of urethra and urinary tract	EFO_0009689	D014522
Phe_597	Other disorders of urethra and urinary tract	EFO_0009690	D014570
Phe_597_1	Urethral stricture (not specified as infectious)	EFO_0009689	D014522
Phe_597_1	Urethral stricture (not specified as infectious)	HP_0012227	D014525
Phe_598	Abnormal findings on examination of urine	EFO_0009690	D014570
Phe_598_9	Other nonspecific findings on examination of urine	EFO_0009690	D014570
Phe_599	Other symptoms/disorders or the urinary system	EFO_0009690	D014570
Phe_599_1	Urinary obstruction	EFO_0009571	
Phe_599_1	Urinary obstruction	EFO_0009690	D014570
Phe_599_2	Retention of urine	HP_0000016	D016055
Phe_599_3	Dysuria	EFO_0003901	D053159
Phe_599_4	Urinary incontinence	HP_0000020	D014549
Phe_599_5	Frequency of urination and polyuria	HP_0000103	D011141
Phe_599_5	Frequency of urination and polyuria	HP_0012590	
Phe_599_8	Other symptoms involving urinary system	EFO_0009690	D014570
Phe_599_9	Other abnormality of urination	EFO_0009690	D014570
Phe_599_9	Other abnormality of urination	HP_0012590	
Phe_600	Hyperplasia of prostate	EFO_0000284	D011470
Phe_601	Inflammatory diseases of prostate	EFO_0003830	D011472
Phe_601_1	Prostatitis	EFO_0003830	D011472
Phe_601_11	Acute prostatitis	EFO_0003830	D011472
Phe_601_12	Chronic prostatitis	EFO_0003830	D011472
Phe_601_3	Orchitis and epididymitis	EFO_1001078;HP_0000031	D009920;D004823
Phe_601_4	Balanoposthitis	MONDO_0001618	
Phe_601_8	Other inflammatory disorders of male genital organs	EFO_0009555	D005832
Phe_602	Other disorders of prostate	EFO_0009602	D011469
Phe_602_3	Dysplasia of prostate	EFO_0000284	D011470
Phe_603	Other disorders of testis	EFO_0009601	D013733
Phe_603_1	Hydrocele	EFO_1001859	D006848
Phe_603_2	Spermatocele	EFO_1001189	D013088
Phe_604	Disorders of penis	EFO_0009555	D005832
Phe_604_1	Redundant prepuce and phimosis/BXO	EFO_0009690	D014570
Phe_604_1	Redundant prepuce and phimosis/BXO	EFO_1001015	D052798
Phe_604_3	Peyronie's disease	MONDO_0008231	
Phe_605	Erectile dysfunction [ED]	EFO_0004234	D007172
Phe_608	Other disorders of male genital organs	EFO_0009555	D005832
Phe_609	Male infertility and abnormal spermatozoa	EFO_0000279	D053713
Phe_609_1	Infertility, male	EFO_0004248	D007248
Phe_609_2	Abnormal spermatozoa	HP_0000022	
Phe_610	Benign mammary dysplasias	HP_0000769	
Phe_610_1	Cystic mastopathy	EFO_0003014	D005348
Phe_610_1	Cystic mastopathy	MONDO_0000620	
Phe_610_2	Fibroadenosis of breast	EFO_0006891	D005348
Phe_610_4	Benign neoplasm of breast	EFO_0002422	
Phe_610_4	Benign neoplasm of breast	MONDO_0000620	
Phe_610_8	Other specified benign mammary dysplasias	MONDO_0000620	
Phe_611	Abnormal findings on mammogram or breast exam	HP_0000769	
Phe_611_1	Abnormal mammogram	EFO_0005941;EFO_0009827	
Phe_611_11	Mammographic microcalcification	EFO_0009483	D001941
Phe_611_3	Lump or mass in breast	EFO_0003869	D001943
Phe_612	Breast conditions, congenital or relating to hormones	HP_0000769	
Phe_612_2	Hypertrophy of breast (Gynecomastia)	HP_0010313	
Phe_613	Other nonmalignant breast conditions	EFO_0009483	D001941
Phe_613_5	Mastodynia	EFO_1001366	D059373
Phe_613_7	Other signs and symptoms in breast	EFO_0009483	D001941
Phe_613_8	Other specified disorders of breast	EFO_0009483	D001941
Phe_613_9	Breast disorder NOS	EFO_0009483	D001941
Phe_614	Inflammatory diseases of female pelvic organs	EFO_1001388	D000292
Phe_614_5	Inflammatory disease of cervix, vagina, and vulva	EFO_0009549	D005831
Phe_614_5	Inflammatory disease of cervix, vagina, and vulva	EFO_0009572	
Phe_614_51	Cervicitis and endocervicitis	HP_0030160	D002575
Phe_614_52	Vaginitis and vulvovaginitis	EFO_1001240	D014848
Phe_614_52	Vaginitis and vulvovaginitis	MONDO_0002234	D014627
Phe_615	Endometriosis	EFO_0001065	D004715
Phe_618	Genital prolapse	EFO_0004710	D056887
Phe_618	Genital prolapse	EFO_0009549	D005831
Phe_618_1	Prolapse of vaginal walls	EFO_0004710	D056887
Phe_618_1	Prolapse of vaginal walls	EFO_0009549	D005831
Phe_619	Noninflammatory female genital disorders	EFO_0009549	D005831
Phe_619_2	Disorders of uterus, NEC	EFO_0009549	D005831
Phe_619_2	Disorders of uterus, NEC	MONDO_0002654	D014591
Phe_619_4	Noninflammatory disorders of vagina	EFO_0009549	D005831
Phe_619_4	Noninflammatory disorders of vagina	MONDO_0001433	D014623
Phe_622	Polyp of female genital organs	EFO_0008622	
Phe_622_1	Polyp of corpus uteri	EFO_0009484	
Phe_624	Symptoms involving female genital tract	EFO_0003765;EFO_0009549	D012816;D005831
Phe_624_9	stress incontinence, female	EFO_0010098	
Phe_624_9	stress incontinence, female	HP_0010992	D014550
Phe_625	Pain and other symptoms associated with female genital organs	EFO_0003765;EFO_0009549	D012816;D005831
Phe_625	Pain and other symptoms associated with female genital organs	EFO_0009549	D005831
Phe_625_1	Dyspareunia	HP_0030016	D004414
Phe_626	Disorders of menstruation and other abnormal bleeding from female genital tract	EFO_0009549	D005831
Phe_626	Disorders of menstruation and other abnormal bleeding from female genital tract	EFO_0010270	
Phe_626_1	Irregular menstrual cycle/bleeding	EFO_0009549	D005831
Phe_626_1	Irregular menstrual cycle/bleeding	EFO_0010270	
Phe_626_11	Absent or infrequent menstruation	HP_0000876	D009839
Phe_626_12	Excessive or frequent menstruation	EFO_0009549	D005831
Phe_626_12	Excessive or frequent menstruation	EFO_0010270	
Phe_626_13	Irregular menstrual cycle	EFO_0009549	D005831
Phe_626_13	Irregular menstrual cycle	EFO_0010270	
Phe_626_14	Irregular menstrual bleeding	EFO_0010270	
Phe_626_2	Dysmenorrhea	HP_0100607	D004412
Phe_626_8	Infertility, female	EFO_0008560	D007247
Phe_627	Menopausal and postmenopausal disorders	EFO_0009549	D005831
